date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:06	954/954	---MCZ	200	added ('OK')	application/javascript	etag:W/%226256b72c-3ba%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/js/config.js	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/js/config.js	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:06	87611/87611	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-1563b%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/index.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/index-2.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:07	87158/87158	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-15476%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/dashboards-ecommerce.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/dashboards-ecommerce.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:07	65604/65604	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-10044%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-collapsed-menu.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-collapsed-menu.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:07	65439/65439	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-ff9f%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-content-navbar.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-content-navbar.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:08	65828/65828	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-10124%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-content-navbar-with-sidebar.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-content-navbar-with-sidebar.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:08	30105/30105	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-7599%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-without-menu.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-without-menu.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:08	42099/42099	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-a473%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-without-navbar.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-without-navbar.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:09	65423/65423	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-ff8f%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-fluid.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-fluid.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
13:00:09	65444/65444	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-ffa4%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-container.html	C:/My%20Web%20Sites/VICOBA/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/layouts-container.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template/)
